team,rank,country,level,elo,from,to,league
Liverpool,1.0,ENG,1,1996.72912598,2025-05-20,2025-05-25,ENG-Premier League
Arsenal,2.0,ENG,1,1989.69677734,2025-05-19,2025-05-25,ENG-Premier League
Inter,3.0,ITA,1,1957.31567383,2025-05-24,2025-05-25,ITA-Serie A
Paris SG,4.0,FRA,1,1950.22839355,2025-05-19,2025-05-25,FRA-Ligue 1
Man City,5.0,ENG,1,1950.20031738,2025-05-21,2025-05-25,ENG-Premier League
Barcelona,6.0,ESP,1,1937.05505371,2025-05-19,2025-05-24,ESP-La Liga
Real Madrid,7.0,ESP,1,1936.05700684,2025-05-19,2025-05-24,ESP-La Liga
Bayern,8.0,GER,1,1919.01635742,2025-05-18,2025-08-21,GER-Bundesliga
Chelsea,9.0,ENG,1,1885.09423828,2025-05-17,2025-05-25,ENG-Premier League
Aston Villa,10.0,ENG,1,1883.37866211,2025-05-17,2025-05-25,ENG-Premier League
Newcastle,11.0,ENG,1,1878.10900879,2025-05-19,2025-05-25,ENG-Premier League
Atalanta,12.0,ITA,1,1863.1940918,2025-05-18,2025-05-25,ITA-Serie A
Leverkusen,13.0,GER,1,1848.78076172,2025-05-18,2025-08-17,GER-Bundesliga
Atletico,14.0,ESP,1,1848.2277832,2025-05-19,2025-05-25,ESP-La Liga
Napoli,15.0,ITA,1,1844.10876465,2025-05-24,2025-05-31,ITA-Serie A
Crystal Palace,16.0,ENG,1,1827.01525879,2025-05-21,2025-05-25,ENG-Premier League
Dortmund,17.0,GER,1,1818.3503418,2025-05-19,2025-05-25,GER-Bundesliga
Roma,18.0,ITA,1,1817.3572998,2025-05-19,2025-05-25,ITA-Serie A
Brighton,19.0,ENG,1,1809.79956055,2025-05-20,2025-05-25,ENG-Premier League
Brentford,20.0,ENG,1,1809.60241699,2025-05-20,2025-05-25,ENG-Premier League
Juventus,21.0,ITA,1,1807.8984375,2025-05-20,2025-05-25,ITA-Serie A
Forest,22.0,ENG,1,1807.87634277,2025-05-20,2025-05-25,ENG-Premier League
Bilbao,23.0,ESP,1,1802.54138184,2025-05-21,2025-05-25,ESP-La Liga
Bournemouth,24.0,ENG,1,1801.60510254,2025-05-21,2025-05-25,ENG-Premier League
PSV,25.0,NED,1,1797.03723145,2025-05-19,2025-07-24,
Benfica,26.0,POR,1,1791.24462891,2025-05-22,2025-05-24,
Lazio,27.0,ITA,1,1790.39416504,2025-05-22,2025-05-24,ITA-Serie A
Milan,28.0,ITA,1,1789.86669922,2025-05-22,2025-05-24,ITA-Serie A
Sporting,29.0,POR,1,1788.21386719,2025-05-22,2025-05-25,
Fulham,30.0,ENG,1,1786.74633789,2025-05-22,2025-05-25,ENG-Premier League
