team,rank,country,level,elo,from,to,league
Man City,1.0,ENG,1,2080.86743164,2023-08-12,2023-08-19,ENG-Premier League
Liverpool,2.0,ENG,1,1943.99621582,2023-08-14,2023-08-19,ENG-Premier League
Bayern,3.0,GER,1,1935.62670898,2023-05-28,2023-08-18,GER-Bundesliga
Arsenal,4.0,ENG,1,1921.4753418,2023-08-13,2023-08-21,ENG-Premier League
Real Madrid,5.0,ESP,1,1913.26965332,2023-08-13,2023-08-19,ESP-La Liga
Napoli,6.0,ITA,1,1904.45983887,2023-06-11,2023-08-19,ITA-Serie A
Newcastle,7.0,ENG,1,1887.08215332,2023-08-13,2023-08-19,ENG-Premier League
Inter,8.0,ITA,1,1882.35107422,2023-08-13,2023-08-19,ITA-Serie A
Man United,9.0,ENG,1,1873.67431641,2023-06-11,2023-08-14,ENG-Premier League
Barcelona,10.0,ESP,1,1858.42834473,2023-08-14,2023-08-20,ESP-La Liga
Atletico,11.0,ESP,1,1846.31652832,2023-06-05,2023-08-14,ESP-La Liga
Dortmund,12.0,GER,1,1840.53796387,2023-05-28,2023-08-19,GER-Bundesliga
Brighton,13.0,ENG,1,1832.39196777,2023-08-13,2023-08-14,ENG-Premier League
Porto,14.0,POR,1,1831.35412598,2023-08-13,2023-08-14,
Milan,15.0,ITA,1,1829.89697266,2023-08-13,2023-08-17,ITA-Serie A
RB Leipzig,16.0,GER,1,1825.38208008,2023-08-13,2023-08-19,GER-Bundesliga
Brentford,17.0,ENG,1,1822.56152344,2023-08-14,2023-08-19,ENG-Premier League
Tottenham,18.0,ENG,1,1817.67163086,2023-08-14,2023-08-19,ENG-Premier League
Aston Villa,19.0,ENG,1,1816.9432373,2023-08-14,2023-08-20,ENG-Premier League
Benfica,20.0,POR,1,1815.23913574,2023-08-11,2023-08-14,
Paris SG,21.0,FRA,1,1802.02270508,2023-08-13,2023-08-14,FRA-Ligue 1
Juventus,22.0,ITA,1,1796.89624023,2023-06-11,2023-08-17,ITA-Serie A
Chelsea,23.0,ENG,1,1791.04125977,2023-08-14,2023-08-20,ENG-Premier League
Roma,24.0,ITA,1,1789.65930176,2023-08-14,2023-08-20,ITA-Serie A
Sociedad,25.0,ESP,1,1783.3729248,2023-08-13,2023-08-19,ESP-La Liga
Lazio,26.0,ITA,1,1779.98583984,2023-06-11,2023-08-19,ITA-Serie A
West Ham,27.0,ENG,1,1777.57678223,2023-08-13,2023-08-20,ENG-Premier League
Crystal Palace,28.0,ENG,1,1764.00854492,2023-08-14,2023-08-18,ENG-Premier League
Villarreal,29.0,ESP,1,1760.68981934,2023-08-14,2023-08-15,ESP-La Liga
Atalanta,30.0,ITA,1,1759.28442383,2023-08-14,2023-08-15,ITA-Serie A
PSV,31.0,NED,1,1757.62902832,2023-08-14,2023-08-15,
Sporting,32.0,POR,1,1757.00170898,2023-08-14,2023-08-15,
Sevilla,33.0,ESP,1,1755.47790527,2023-08-14,2023-08-17,ESP-La Liga
Betis,34.0,ESP,1,1750.20349121,2023-08-14,2023-08-15,ESP-La Liga
Ajax,35.0,NED,1,1749.42590332,2023-08-14,2023-08-15,
Fiorentina,36.0,ITA,1,1749.2421875,2023-08-14,2023-08-17,ITA-Serie A
Leverkusen,37.0,GER,1,1748.23400879,2023-08-14,2023-08-15,GER-Bundesliga
Lens,38.0,FRA,1,1747.87145996,2023-08-14,2023-08-15,FRA-Ligue 1
Feyenoord,39.0,NED,1,1747.45227051,2023-08-14,2023-08-15,
Fulham,40.0,ENG,1,1745.37902832,2023-08-14,2023-08-19,ENG-Premier League
Union Berlin,41.0,GER,1,1738.94067383,2023-08-13,2023-08-20,GER-Bundesliga
Freiburg,42.0,GER,1,1732.67004395,2023-05-28,2023-08-19,GER-Bundesliga
Leicester,43.0,ENG,2,1732.31848145,2023-08-13,2023-08-19,
Salzburg,44.0,AUT,1,1728.03027344,2023-08-14,2023-08-15,
Burnley,45.0,ENG,1,1722.81994629,2023-08-12,2023-08-23,ENG-Premier League
Wolves,46.0,ENG,1,1719.05712891,2023-06-11,2023-08-14,ENG-Premier League
Frankfurt,47.0,GER,1,1717.04931641,2023-06-08,2023-08-14,GER-Bundesliga
Rennes,48.0,FRA,1,1710.55773926,2023-08-14,2023-08-15,FRA-Ligue 1
Wolfsburg,49.0,GER,1,1710.00549316,2023-08-14,2023-08-15,GER-Bundesliga
Marseille,50.0,FRA,1,1705.30712891,2023-08-14,2023-08-15,FRA-Ligue 1
Bologna,51.0,ITA,1,1700.80700684,2023-08-13,2023-08-18,ITA-Serie A
Everton,52.0,ENG,1,1699.52368164,2023-08-13,2023-08-18,ENG-Premier League
Lille,53.0,FRA,1,1698.31494141,2023-08-12,2023-08-15,FRA-Ligue 1
Torino,54.0,ITA,1,1692.63000488,2023-08-14,2023-08-19,ITA-Serie A
Bilbao,55.0,ESP,1,1689.90576172,2023-08-14,2023-08-19,ESP-La Liga
Lyon,56.0,FRA,1,1684.89709473,2023-08-14,2023-08-15,FRA-Ligue 1
Osasuna,57.0,ESP,1,1684.60839844,2023-08-14,2023-08-15,ESP-La Liga
Gladbach,58.0,GER,1,1684.28417969,2023-08-14,2023-08-15,GER-Bundesliga
Zenit,59.0,RUS,1,1683.52722168,2023-08-14,2023-08-19,
Mainz,60.0,GER,1,1682.03588867,2023-08-14,2023-08-19,GER-Bundesliga
Valencia,61.0,ESP,1,1674.6427002,2023-08-14,2023-08-18,ESP-La Liga
St Gillis,62.0,BEL,1,1672.64978027,2023-08-14,2023-08-17,
Girona,63.0,ESP,1,1671.98156738,2023-08-14,2023-08-17,ESP-La Liga
Forest,64.0,ENG,1,1671.89074707,2023-08-14,2023-08-17,ENG-Premier League
Alkmaar,65.0,NED,1,1664.45068359,2023-08-14,2023-08-15,
