number,team,matches,wins,draws,loses,goals,ga,points,xG,NPxG,xGA,NPxGA,NPxGD,ppda,ppda_allowed,deep,deep_allowed,xPTS
1,Liverpool,38,25,9,4,86,41,84,93.24,86.39,42.32,40.66,45.73,8.94,16.0,442,200,81.84
2,Arsenal,38,20,14,4,69,34,74,73.57,72.05,39.98,37.7,34.35,8.8,14.31,366,156,72.96
3,Manchester City,38,21,8,9,72,44,71,73.15,70.1,52.9,49.86,20.25,12.09,17.08,431,198,64.66
4,Chelsea,38,20,9,9,64,43,69,73.12,69.31,54.26,49.7,19.62,10.84,13.98,337,226,62.56
5,Newcastle United,38,20,6,12,68,47,66,71.48,66.92,53.98,52.45,14.46,10.28,10.84,349,232,62.61
6,Aston Villa,38,19,9,10,58,51,66,66.39,61.71,55.0,52.71,9.0,12.39,9.96,285,248,61.53
7,Nottingham Forest,38,19,8,11,58,46,65,52.75,50.47,55.92,53.63,-3.17,14.22,8.23,220,271,50.01
8,Brighton,38,16,13,9,66,59,61,65.28,59.95,59.12,52.27,7.68,9.93,12.56,322,243,57.26
9,Bournemouth,38,15,11,12,58,46,56,72.62,67.29,53.99,50.95,16.34,8.53,9.79,283,327,65.03
10,Brentford,38,16,8,14,66,57,56,67.12,62.55,60.86,60.1,2.45,10.87,12.14,278,394,54.94
11,Fulham,38,15,9,14,54,54,54,58.0,54.96,49.23,46.19,8.77,12.1,13.07,232,226,57.6
12,Crystal Palace,38,13,14,11,51,51,53,67.78,64.74,58.88,57.36,7.37,13.17,9.02,243,270,58.16
13,Everton,38,11,15,12,42,44,48,46.87,45.35,53.66,52.14,-6.79,14.28,8.98,186,267,47.65
14,West Ham,38,11,10,17,46,62,43,50.59,48.31,68.09,65.8,-17.5,12.25,10.11,224,316,41.76
15,Manchester United,38,11,9,18,44,54,42,56.91,53.87,60.73,57.63,-3.77,10.07,13.26,309,218,52.24
16,Wolverhampton Wanderers,38,12,6,20,54,69,42,45.37,45.37,61.57,54.72,-9.35,11.54,9.92,215,284,41.45
17,Tottenham,38,11,5,22,64,65,38,65.36,62.32,68.23,65.95,-3.63,9.43,10.23,316,280,50.07
18,Leicester,38,6,7,25,33,80,25,38.06,35.77,85.89,82.84,-47.07,13.25,10.76,159,381,26.43
19,Ipswich,38,4,10,24,36,82,22,40.42,38.9,83.73,79.17,-40.27,14.2,8.97,132,373,28.45
20,Southampton,38,2,6,30,26,86,12,38.63,36.92,98.35,91.39,-54.47,12.04,10.96,179,398,22.69
