number,team,matches,wins,draws,loses,goals,ga,points,xG,NPxG,xGA,NPxGA,NPxGD,ppda,ppda_allowed,deep,deep_allowed,xPTS
1,Barcelona,38,28,4,6,102,39,88,99.47,93.52,42.98,40.01,53.51,6.48,15.49,466,120,83.47
2,Real Madrid,38,26,6,6,78,38,84,88.1,77.55,46.07,43.84,33.7,11.11,15.88,368,177,75.26
3,Atletico Madrid,38,22,10,6,68,30,76,72.32,67.12,38.56,34.84,32.27,13.6,13.91,304,193,70.66
4,Athletic Club,38,19,13,6,54,29,70,59.7,55.24,42.38,38.58,16.66,11.53,10.72,203,145,62.19
5,Villarreal,38,20,10,8,71,51,70,74.05,68.71,51.5,45.55,23.16,13.4,10.99,302,232,67.13
6,Real Betis,38,16,12,10,57,50,60,60.79,53.35,51.73,48.76,4.6,10.4,10.65,265,198,60.16
7,Celta Vigo,38,16,7,15,59,57,55,58.45,51.76,50.31,47.2,4.56,11.77,14.12,269,179,58.66
8,Osasuna,38,12,16,10,48,52,52,49.43,42.74,58.51,53.31,-10.56,11.45,10.66,161,279,47.47
9,Rayo Vallecano,38,13,13,12,41,45,52,49.97,49.15,57.14,51.2,-2.05,8.54,10.6,185,210,47.97
10,Mallorca,38,13,9,16,35,44,48,44.4,40.69,53.82,51.59,-10.9,12.53,9.29,143,259,48.61
11,Valencia,38,11,13,14,44,54,46,46.91,43.19,55.79,49.1,-5.9,12.77,10.11,158,213,49.41
12,Real Sociedad,38,13,7,18,35,46,46,47.91,44.93,49.18,43.84,1.1,8.71,12.25,206,186,51.87
13,Getafe,38,11,9,18,34,39,42,41.38,37.66,51.12,44.43,-6.77,9.91,6.33,142,181,45.79
14,Alaves,38,10,12,16,38,48,42,46.38,38.2,51.49,43.31,-5.11,9.46,8.56,152,161,50.0
15,Espanyol,38,11,9,18,40,51,42,38.68,34.96,59.02,54.56,-19.6,15.51,9.14,139,312,39.82
16,Sevilla,38,10,11,17,42,55,41,45.11,42.88,50.79,46.33,-3.45,11.37,11.73,175,188,48.26
17,Girona,38,11,8,19,44,60,41,46.26,42.55,56.39,51.93,-9.38,10.81,14.51,231,218,47.68
18,Leganes,38,9,13,16,39,56,40,38.56,33.36,65.35,59.41,-26.05,12.22,8.86,144,252,36.12
19,Las Palmas,38,8,8,22,40,61,32,39.06,36.09,73.84,66.4,-30.32,11.53,11.25,176,267,31.14
20,Real Valladolid,38,4,4,30,26,90,16,36.08,32.37,77.03,71.82,-39.46,15.07,9.62,91,310,31.65
