number,team,matches,wins,draws,loses,goals,ga,points,xG,NPxG,xGA,NPxGA,NPxGD,ppda,ppda_allowed,deep,deep_allowed,xPTS
1,Paris Saint Germain,34,26,6,2,92,35,84,103.63,98.31,36.39,34.11,64.2,7.29,20.55,407,161,83.66
2,Marseille,34,20,5,9,74,47,65,68.84,61.11,51.47,46.88,14.23,9.29,17.3,272,126,56.27
3,Monaco,34,18,7,9,63,41,61,76.93,71.6,38.38,36.1,35.51,7.59,11.19,380,169,70.06
4,Nice,34,17,9,8,66,41,60,66.84,62.28,44.99,42.71,19.57,11.7,9.99,266,217,60.84
5,Lille,34,17,9,8,52,36,60,60.44,52.84,45.74,42.7,10.13,9.29,14.83,302,158,56.61
6,Lyon,34,17,6,11,65,46,57,64.98,57.25,48.29,46.01,11.24,9.68,15.35,384,199,56.43
7,Strasbourg,34,16,9,9,56,44,57,53.81,52.29,61.78,54.94,-2.64,14.26,12.13,174,242,43.42
8,Lens,34,15,7,12,42,39,52,58.74,54.94,47.87,41.01,13.93,8.99,11.69,280,212,53.87
9,Brest,34,15,5,14,52,59,50,52.78,45.94,66.25,58.65,-12.71,11.68,11.67,156,259,40.08
10,Toulouse,34,11,9,14,44,43,42,54.89,51.85,39.34,37.82,14.03,12.66,10.05,249,181,56.48
11,Auxerre,34,11,9,14,48,51,42,42.78,38.98,62.85,56.77,-17.79,14.07,8.96,166,247,34.95
12,Rennes,34,13,2,19,51,50,41,53.8,47.53,50.8,46.14,1.39,10.66,11.5,227,218,47.64
13,Nantes,34,8,12,14,39,52,36,44.9,41.1,60.06,53.98,-12.88,16.88,10.78,146,273,40.18
14,Angers,34,10,6,18,32,53,36,39.61,35.04,64.62,60.82,-25.78,16.05,8.44,126,303,35.46
15,Le Havre,34,10,4,20,40,71,34,45.35,37.61,68.95,64.39,-26.78,14.58,9.58,126,277,34.57
16,Reims,34,8,9,17,33,47,33,41.63,40.11,63.26,59.46,-19.35,13.7,9.58,157,287,34.04
17,Saint-Etienne,34,8,6,20,39,77,30,40.49,37.43,84.02,72.35,-34.91,12.84,10.49,185,301,26.78
18,Montpellier,34,4,4,26,23,79,16,38.45,35.41,73.82,66.79,-31.38,13.08,8.84,119,292,27.02
