player,next_player,team,link_value
Aaron Cresswell,Aaron Cresswell,West Ham,-0.11498822
Aaron Cresswell,Aaron Wan-Bissaka,West Ham,-0.025409918
Aaron Cresswell,Alphonse Areola,West Ham,0.51363367
Aaron Cresswell,Andy Irving,West Ham,0.024002712
Aaron Cresswell,Carlos Soler,West Ham,-0.014620271
Aaron Cresswell,Crysencio Summerville,West Ham,0.0059624277
Aaron Cresswell,Danny Ings,West Ham,0.017639592
Aaron Cresswell,Edson Álvarez,West Ham,0.015129659
Aaron Cresswell,Emerson,West Ham,-0.04858489
Aaron Cresswell,Evan Ferguson,West Ham,-0.008840711
Aaron Cresswell,Guido Rodríguez,West Ham,0.0019598596
Aaron Cresswell,James Ward-Prowse,West Ham,0.014832981
Aaron Cresswell,Jarrod Bowen,West Ham,0.0015493068
Aaron Cresswell,Jean-Clair Todibo,West Ham,-0.0037930168
Aaron Cresswell,Konstantinos Mavropanos,West Ham,0.0009478852
Aaron Cresswell,Lucas Paquetá,West Ham,0.03626907
Aaron Cresswell,Luis Guilherme,West Ham,-0.008291873
Aaron Cresswell,Lukasz Fabianski,West Ham,0.08298243
Aaron Cresswell,Maximilian Kilman,West Ham,0.15837833
Aaron Cresswell,Michail Antonio,West Ham,0.002992319
Aaron Cresswell,Mohammed Kudus,West Ham,0.38463083
Aaron Cresswell,Niclas Füllkrug,West Ham,-0.0010198639
Aaron Cresswell,Ollie Scarles,West Ham,-0.016209539
Aaron Cresswell,Tomás Soucek,West Ham,0.03509825
Aaron Cresswell,Vladimír Coufal,West Ham,0.0005911412
Aaron Ramsdale,Aaron Ramsdale,Southampton,-0.61676955
Aaron Ramsdale,Adam Armstrong,Southampton,0.020954927
Aaron Ramsdale,Adam Lallana,Southampton,-0.07065249
Aaron Ramsdale,Albert Grønbæk,Southampton,-0.02998396
Aaron Ramsdale,Armel Bella-Kotchap,Southampton,-0.064696826
Aaron Ramsdale,Ben Brereton,Southampton,-0.018424165
Aaron Ramsdale,Cameron Archer,Southampton,-0.024217907
Aaron Ramsdale,Charlie Taylor,Southampton,-0.034684896
Aaron Ramsdale,Flynn Downes,Southampton,-0.21350321
Aaron Ramsdale,Jack Stephens,Southampton,-0.2389148
Aaron Ramsdale,James Bree,Southampton,-0.10938599
Aaron Ramsdale,Jan Bednarek,Southampton,-0.24618539
Aaron Ramsdale,Joachim Kayi-Sanda,Southampton,0.0026203669
Aaron Ramsdale,Joe Aribo,Southampton,-0.18917428
Aaron Ramsdale,Kamaldeen Sulemana,Southampton,-0.06444645
