Team,Pressing Intensity,Pressing Resistance,Possession,Field tilt %,Tempo,Directness,Defensive height,Crossing,Air duels,Set Pieces,Dribbling,Width,Shot_Distance,Aggression,Box_Focus,Main_Style,Tactical_Profile
alaves,73.59081419624216,40.04494382022472,66.32503660322108,75.53946922111581,88.44986139071536,95.99359943375191,82.73134328358209,77.95275590551182,88.33664678595096,98.95833333333333,68.95719211342602,96.98914564950312,17.8,94.43546476792956,83.70786516853931,Kick and Rush,Wing Play & Set-Piece
angers,41.05998835177635,45.03370786516854,60.32210834553441,61.06842468174047,89.73306363000745,84.8871765356871,78.5412087912088,55.4423344140806,50.49701789264414,51.041666666666664,94.11288147414878,73.31108917852488,18.3,71.74344225715278,81.4207650273224,Park the Bus,Dribblers & Wing Play
arsenal,75.80645161290322,73.12359550561797,83.30893118594436,93.81584420066059,96.24588492083221,70.47306791737367,97.42857142857143,59.055118110236215,62.02783300198807,85.41666666666667,83.02627833832311,67.82523024736392,15.1,82.88317264890452,98.67549668874173,Possession,Field tilt % & Press Resistant
aston villa,60.30795551753636,39.59550561797753,73.9385065885798,70.57740224450505,93.81681841976368,78.78030871683724,85.95985647006056,44.09448818897637,53.08151093439364,88.54166666666667,92.04480168241396,60.825349096144166,16.3,80.057641066541,91.41104294478527,Standard,Set-Piece & Dribblers
atalanta,62.11453744493392,60.17977528089887,80.96632503660322,83.93741396391988,95.99845557821027,72.31856846846605,87.54040530397798,88.97637795275593,71.2392312789927,78.125,70.9209876094068,66.40429000635291,15.0,84.52431985547408,99.33333333333334,Possession,Cross-Heavy & Field tilt %
athletic club,70.64128256513025,52.13483146067416,70.86383601756955,77.08646412482676,91.33128844620295,80.75076516338113,89.01039861351819,70.86614173228345,66.93174287607687,67.70833333333333,100.0,79.63187818677098,17.4,87.03289604452395,85.63218390804599,Wing-Play,Dribblers & Wing Play
atletico madrid,63.91659111514053,62.20224719101124,77.01317715959004,71.86736789995635,96.50307484878189,76.74587738376047,81.68636048926841,75.59055118110236,57.322730284956926,51.041666666666664,69.2455454544685,56.48320485355299,17.0,80.73733050945596,87.6470588235294,Possession,Cross-Heavy & Press Resistant
augsburg,55.952380952380956,44.26966292134831,64.86090775988288,72.36983472371624,89.74953950915616,87.45001266357235,87.55295566502464,67.76285317276518,67.59443339960238,83.33333333333333,80.20836294210265,69.35663361084967,17.4,76.81617790755153,85.63218390804599,Kick and Rush,Set-Piece & Vertical
auxerre,52.22222222222222,37.25842696629213,62.225475841874086,60.842332975980206,89.06626994946693,86.8407157491969,82.5729506414438,59.84251968503937,55.268389662027836,60.416666666666664,94.08227372099302,68.59132123020308,17.5,72.43655097230823,85.14285714285714,Park the Bus,Dribblers & Vertical
barcelona,99.01685393258427,73.75280898876404,100.0,94.51780689222726,98.71254372217585,70.62999465886732,97.81412639405205,60.62992125984252,47.647448641484424,62.5,83.90292908965165,49.40294715926656,17.1,82.1715200581762,87.1345029239766,Possession,Intense Press & Control
