"","team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"1","Manchester City","Premier League","England","2020","Arrivals","Rúben Dias","https://www.transfermarkt.com/ruben-dias/profil/spieler/258004","Centre-Back","23","Portugal","Benfica","Liga Portugal","Portugal",71600000,FALSE,NA,"Summer",55,50,1,4332
"2","Manchester City","Premier League","England","2020","Arrivals","Nathan Aké","https://www.transfermarkt.com/nathan-ake/profil/spieler/177476","Centre-Back","25","Netherlands","Bournemouth","Championship","England",45300000,FALSE,NA,"Summer",30,13,1,993
"3","Manchester City","Premier League","England","2020","Arrivals","Ferran Torres","https://www.transfermarkt.com/ferran-torres/profil/spieler/398184","Right Winger","20","Spain","Valencia","LaLiga","Spain",33500000,FALSE,NA,"Summer",58,36,13,2111
"4","Manchester City","Premier League","England","2020","Arrivals","Nahuel Bustos","https://www.transfermarkt.com/nahuel-bustos/profil/spieler/439629","Centre-Forward","22","Argentina","CA Talleres","Copa de la Liga (- 23/24)","Argentina",6500000,FALSE,NA,"Summer",NA,NA,NA,NA
"5","Manchester City","Premier League","England","2020","Arrivals","Yan Couto","https://www.transfermarkt.com/yan-couto/profil/spieler/627228","Right-Back","18","Brazil","Coritiba FC","Série A","Brazil",6e+06,FALSE,NA,"Summer",NA,NA,NA,NA
"6","Manchester City","Premier League","England","2020","Arrivals","Issa Kaboré","https://www.transfermarkt.com/issa-kabore/profil/spieler/649452","Right-Back","19","Burkina Faso","KV Mechelen","Jupiler Pro League","Belgium",4500000,FALSE,NA,"Summer",NA,NA,NA,NA
"7","Manchester City","Premier League","England","2020","Arrivals","Pedro Porro","https://www.transfermarkt.com/pedro-porro/profil/spieler/553875","Right-Back","20","Spain","Real Valladolid","LaLiga","Spain",NA,TRUE,"End of loan Jul 20, 2020","Summer",NA,NA,NA,NA
"8","Manchester City","Premier League","England","2020","Arrivals","Zack Steffen","https://www.transfermarkt.com/zack-steffen/profil/spieler/221624","Goalkeeper","25","United States","F. Düsseldorf","2. Bundesliga","Germany",NA,TRUE,"End of loan Jun 30, 2020","Summer",58,12,0,1080
"9","Manchester City","Premier League","England","2020","Arrivals","Lukas Nmecha","https://www.transfermarkt.com/lukas-nmecha/profil/spieler/314288","Centre-Forward","21","Germany","Middlesbrough","Championship","England",NA,TRUE,"End of loan Jul 31, 2020","Summer",NA,NA,NA,NA
"10","Manchester City","Premier League","England","2020","Arrivals","Ante Palaversa","https://www.transfermarkt.com/ante-palaversa/profil/spieler/371003","Defensive Midfield","20","Croatia","KV Oostende","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"11","Manchester City","Premier League","England","2020","Arrivals","Philippe Sandler","https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460","Centre-Back","23","Netherlands","RSC Anderlecht","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2020","Summer",0,0,0,0
"12","Manchester City","Premier League","England","2020","Arrivals","Aleix García","https://www.transfermarkt.com/aleix-garcia/profil/spieler/261504","Central Midfield","23","Spain","Mouscron","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"13","Manchester City","Premier League","England","2020","Arrivals","Slobodan Tedic","https://www.transfermarkt.com/slobodan-tedic/profil/spieler/505652","Centre-Forward","20","Serbia","Cukaricki","Super liga Srbije","Serbia",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"14","Manchester City","Premier League","England","2020","Arrivals","Taylor Harwood-Bellis","https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977","Centre-Back","19","England","Blackburn","Championship","England",NA,TRUE,"End of loan May 31, 2021","Summer",9,4,0,227
"15","Manchester City","Premier League","England","2020","Arrivals","Patrick Roberts","https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452","Right Winger","23","England","Middlesbrough","Championship","England",NA,TRUE,"End of loan Jul 31, 2020","Summer",0,0,0,0
"16","Manchester City","Premier League","England","2020","Arrivals","Patrick Roberts","https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452","Right Winger","24","England","Derby","Championship","England",NA,TRUE,"End of loan May 31, 2021","Summer",0,0,0,0
"17","Manchester City","Premier League","England","2020","Arrivals","Luka Ilic","https://www.transfermarkt.com/luka-ilic/profil/spieler/429790","Attacking Midfield","20","Serbia","NAC Breda","Keuken Kampioen Divisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"18","Manchester City","Premier League","England","2020","Arrivals","Daniel Arzani","https://www.transfermarkt.com/daniel-arzani/profil/spieler/399997","Right Winger","21","Australia","Celtic","Premiership","Scotland",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"19","Manchester City","Premier League","England","2020","Arrivals","Ko Itakura","https://www.transfermarkt.com/ko-itakura/profil/spieler/355816","Centre-Back","23","Japan","FC Groningen","Eredivisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"20","Manchester City","Premier League","England","2020","Arrivals","Marlos Moreno","https://www.transfermarkt.com/marlos-moreno/profil/spieler/345654","Left Winger","23","Colombia","Portimonense","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"21","Manchester City","Premier League","England","2020","Arrivals","Thomas Agyepong","https://www.transfermarkt.com/thomas-agyepong/profil/spieler/384807","Left Winger","23","Ghana","SK Beveren","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2020","Summer",NA,NA,NA,NA
"22","Manchester City","Premier League","England","2020","Arrivals","Diego Rosa","https://www.transfermarkt.com/diego-rosa/profil/spieler/662327","Defensive Midfield","18","Brazil","Grêmio U20",NA,"Brazil",6e+06,FALSE,NA,"Winter",NA,NA,NA,NA
"23","Manchester City","Premier League","England","2020","Arrivals","Taylor Harwood-Bellis","https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977","Centre-Back","18","England","Man City U21","Premier League 2","England",NA,FALSE,"-","Winter",9,4,0,227
"24","Manchester City","Premier League","England","2020","Arrivals","Ante Palaversa","https://www.transfermarkt.com/ante-palaversa/profil/spieler/371003","Defensive Midfield","20","Croatia","Getafe","LaLiga","Spain",NA,TRUE,"End of loan Jan 25, 2021","Winter",NA,NA,NA,NA
"25","Manchester City","Premier League","England","2020","Arrivals","Patrick Roberts","https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452","Right Winger","23","England","Middlesbrough","Championship","England",NA,TRUE,"End of loan Jan 31, 2021","Winter",0,0,0,0
"26","Manchester City","Premier League","England","2020","Arrivals","Arijanet Muric","https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021","Goalkeeper","22","Kosovo","Girona","LaLiga2","Spain",NA,TRUE,"End of loan Jan 31, 2021","Winter",NA,NA,NA,NA
"27","Manchester City","Premier League","England","2020","Arrivals","Daniel Arzani","https://www.transfermarkt.com/daniel-arzani/profil/spieler/399997","Right Winger","22","Australia","FC Utrecht","Eredivisie","Netherlands",NA,TRUE,"End of loan Jan 25, 2021","Winter",NA,NA,NA,NA
"28","Liverpool FC","Premier League","England","2020","Arrivals","Diogo Jota","https://www.transfermarkt.com/diogo-jota/profil/spieler/340950","Centre-Forward","23","Portugal","Wolves","Premier League","England",44700000,FALSE,NA,"Summer",30,30,13,1764
"29","Liverpool FC","Premier League","England","2020","Arrivals","Thiago Alcántara","https://www.transfermarkt.com/thiago-alcantara/profil/spieler/60444","Central Midfield","29","Spain","Bayern Munich","Bundesliga","Germany",2.2e+07,FALSE,NA,"Summer",31,30,1,2205
"30","Liverpool FC","Premier League","England","2020","Arrivals","Konstantinos Tsimikas","https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070","Left-Back","24","Greece","Olympiacos","Super League 1","Greece",1.3e+07,FALSE,NA,"Summer",33,7,0,227
"31","Liverpool FC","Premier League","England","2020","Arrivals","Marcelo Pitaluga","https://www.transfermarkt.com/marcelo-pitaluga/profil/spieler/662334","Goalkeeper","17","Brazil","Fluminense U20",NA,"Brazil",750000,FALSE,NA,"Summer",NA,NA,NA,NA
"32","Liverpool FC","Premier League","England","2020","Arrivals","Curtis Jones","https://www.transfermarkt.com/curtis-jones/profil/spieler/433188","Central Midfield","19","England","Liverpool U21","Premier League 2","England",NA,FALSE,"-","Summer",50,34,4,1921
"33","Liverpool FC","Premier League","England","2020","Arrivals","Rhys Williams","https://www.transfermarkt.com/rhys-williams/profil/spieler/503679","Centre-Back","19","England","Liverpool U21","Premier League 2","England",NA,FALSE,"-","Summer",39,19,0,1352
"34","Liverpool FC","Premier League","England","2020","Arrivals","Harry Wilson","https://www.transfermarkt.com/harry-wilson/profil/spieler/279455","Right Winger","23","Wales","Bournemouth","Championship","England",NA,TRUE,"End of loan Jul 31, 2020","Summer",2,1,0,90
"35","Liverpool FC","Premier League","England","2020","Arrivals","Harry Wilson","https://www.transfermarkt.com/harry-wilson/profil/spieler/279455","Right Winger","24","Wales","Cardiff","Championship","Wales",NA,TRUE,"End of loan May 31, 2021","Summer",2,1,0,90
